assay,bufferreg,thaw,presampleprep,sampleprep,postsampleprep,bufferprep,createnotebookentry,instrumentsetup,perfassay,cleanup,dataanalysis,dataentry,datareview
Titer,30,20,15,5,0,120,10,30,7.5,15,5,15,30
A280,30,20,0,20,0,90,10,10,2,15,5,15,30
SoloVPE,30,20,0,5,0,0,10,10,10,15,1,1,30
SEC,30,20,0,5,0,90,10,30,20,15,2,15,45
cIEF,30,20,60,5,20,0,10,20,10,15,3,30,45
nrCE Maurice,20,20,45,5,20,0,10,15,10,15,5,15,60
rCE Maurice,20,20,45,5,20,0,10,15,30,15,4,15,60
nrCE PA800,25,20,60,5,20,30,10,25,40,15,5,15,60
rCE PA800,25,20,60,5,20,30,10,25,30,15,4,15,60
rHCP (Hamilton),30,20,0,1,0,0,10,45,320,15,10,15,60
rDNA,30,20,45,5,120,20,10,15,120,15,5,15,60
Glycan,30,20,30,1,60,20,10,60,60,15,25,45,60
rProA (Hamilton),30,20,0,1,0,0,10,45,320,15,15,15,60
Osmo,30,20,0,5,0,0,10,15,1,15,1,5,30
TSA,30,20,60,0,480,20,10,45,7,15,10,15,30
pH,30,20,0,5,0,0,10,30,1,15,1,15,15
Appearance,30,20,0,1,0,0,10,5,1,15,5,15,15
CEX,30,20,0,5,40,90,10,30,30,15,5,30,45
PS80/20 CAD,30,20,45,5,15,30,10,45,12,15,5,30,30
PS20 Plate,30,20,45,2,15,0,10,1,3,15,15,30,30
DL,30,20,45,5,50,120,10,30,35,15,10,15,45
SN38,30,20,30,5,50,120,10,30,17,15,15,30,30
SEC-DAR,30,20,0,1,0,90,10,30,35,15,45,30,45
KF,30,20,90,10,0,15,10,30,5,15,1,30,30
HIAC,30,20,90,5,0,0,10,15,5,15,1,30,30
MFI,30,20,90,5,0,0,10,90,30,15,1,30,60
DMSO,30,20,60,5,10,60,10,30,30,15,2,15,30
rCE PA800 Beckman,25,20,60,5,20,30,10,25,30,15,4,15,60
Polysorbate CAD,30,20,45,5,15,30,10,45,12,15,5,30,30
Glycan Profiling,30,20,30,1,60,20,10,60,60,15,25,45,60
Free SN-38 (Trodelvy),30,20,30,5,50,120,10,30,17,15,15,30,30
Osmolality,30,20,0,5,0,0,10,15,1,15,1,5,30
HPLC Titer,30,20,15,5,0,120,10,30,7.5,15,5,15,30
HCP,30,20,0,1,0,0,10,45,320,15,10,15,60
SVP HIAC,30,20,90,5,0,0,10,15,5,15,1,30,30
Residual Host Cell DNA,30,20,45,5,120,20,10,15,120,15,5,15,60
Protein Concentration by SoloVPE,30,20,0,5,0,0,10,10,10,15,1,1,30
rCE KBI,20,20,45,5,20,0,10,15,30,15,4,15,60
nRCE KBI,20,20,45,5,20,0,10,15,10,15,5,15,60
nrCE PA800 Beckman,25,20,60,5,20,30,10,25,40,15,5,15,60
Free SN-38 (DrugLinker),30,20,30,5,50,120,10,30,17,15,15,30,30
SEC Lonza,30,20,0,5,0,90,10,30,20,15,2,15,45
rCE Lonza,20,20,45,5,20,0,10,15,30,15,4,15,60
nrCE Lonza,20,20,45,5,20,0,10,15,10,15,5,15,60